Date,Price,Open,High,Low,Vol.,Change %
11/17/2022,3.397,3.4975,3.5007,3.3576,34.41K,-2.49%
11/16/2022,3.4839,3.5122,3.5362,3.4545,27.32K,-0.74%
11/15/2022,3.5099,3.4441,3.5789,3.4207,34.47K,2.36%
11/14/2022,3.429,3.4779,3.5576,3.415,32.06K,-0.63%
11/11/2022,3.4507,3.4236,3.5508,3.403,38.50K,0.52%
11/10/2022,3.4327,3.4784,3.5208,3.425,39.96K,-1.68%
11/09/2022,3.4913,3.607,3.6082,3.4698,33.82K,-2.86%
11/08/2022,3.594,3.6143,3.697,3.58,32.03K,-0.57%
11/07/2022,3.6145,3.6651,3.6941,3.6065,33.18K,-2.23%
11/04/2022,3.6971,3.6537,3.7173,3.637,28.23K,1.32%
11/03/2022,3.649,3.5415,3.668,3.4881,38.85K,3.09%
11/02/2022,3.5396,3.4727,3.5484,3.4182,29.87K,2.03%
11/01/2022,3.4691,3.505,3.5777,3.455,33.11K,-5.58%
10/31/2022,3.6741,3.7605,3.7831,3.6271,51.23K,-1.91%
10/28/2022,3.7455,3.7131,3.8129,3.6814,56.28K,1.05%
10/27/2022,3.7067,3.7146,3.721,3.6423,47.22K,0.82%
10/26/2022,3.6766,3.5633,3.7302,3.5317,56.78K,2.63%
10/25/2022,3.5823,3.6056,3.6161,3.5195,42.57K,0.42%
10/24/2022,3.5672,3.544,3.6452,3.5222,44.55K,0.39%
10/21/2022,3.5532,3.4995,3.582,3.4435,49.31K,1.99%
10/20/2022,3.4838,3.5307,3.6305,3.4576,50.81K,-2.16%
10/19/2022,3.5606,3.6346,3.6524,3.5082,49.72K,-1.89%
10/18/2022,3.6291,3.7264,3.7358,3.6005,46.32K,-1.58%
10/17/2022,3.6873,3.6134,3.7074,3.6031,41.23K,2.35%
10/14/2022,3.6026,3.6854,3.7119,3.5735,41.37K,-2.83%
10/13/2022,3.7076,3.6127,3.7153,3.545,51.16K,2.37%
10/12/2022,3.6216,3.6091,3.6867,3.55,66.82K,-0.04%
10/11/2022,3.623,3.6465,3.6583,3.5028,58.92K,-1.82%
10/10/2022,3.6903,3.8268,3.8315,3.6426,51.88K,-2.53%
10/07/2022,3.786,3.686,3.8141,3.6477,45.86K,3.14%
10/06/2022,3.6707,3.5648,3.7023,3.4834,55.93K,3.29%
10/05/2022,3.5539,3.3905,3.5699,3.3459,61.96K,4.85%
10/04/2022,3.3895,3.2462,3.4,3.2374,51.56K,4.24%
10/03/2022,3.2515,3.1728,3.2626,3.1728,45.58K,0.93%
09/30/2022,3.2216,3.2899,3.2929,3.1943,46.91K,-2.23%
09/29/2022,3.2952,3.3332,3.3785,3.2744,50.09K,-1.26%
09/28/2022,3.3372,3.1579,3.3434,3.0929,73.09K,5.51%
09/27/2022,3.1629,3.065,3.1941,3.0408,56.86K,3.82%
09/26/2022,3.0464,3.1614,3.1865,3.0287,53.62K,-3.52%
09/23/2022,3.1575,3.3224,3.3246,3.1281,53.04K,-4.91%
09/22/2022,3.3207,3.256,3.3888,3.2302,59.45K,1.82%
09/21/2022,3.2615,3.3042,3.428,3.198,55.08K,-1.29%
09/20/2022,3.304,3.2683,3.3236,3.2331,53.67K,1.39%
09/19/2022,3.2588,3.1402,3.2698,3.0925,51.00K,3.91%
09/16/2022,3.1363,3.185,3.2305,3.1259,37.55K,-1.11%
09/15/2022,3.1716,3.3494,3.3553,3.1168,58.56K,-5.00%
09/14/2022,3.3384,3.4992,3.5055,3.29,58.96K,-4.41%
09/13/2022,3.4924,3.5455,3.6011,3.4388,30.22K,-1.51%
09/12/2022,3.5459,3.5252,3.6407,3.5008,27.94K,0.78%
09/09/2022,3.5184,3.4682,3.5488,3.4528,30.27K,1.37%
09/08/2022,3.4707,3.495,3.5358,3.4175,31.66K,-1.16%
09/07/2022,3.5115,3.5088,3.5509,3.4366,30.68K,0.04%
09/06/2022,3.5102,3.5808,3.6996,3.4753,35.08K,-5.26%
09/05/2022,3.705,3.7077,3.7754,3.6664,,-0.07%
09/04/2022,3.7077,3.6436,3.7083,3.6431,,5.60%
09/02/2022,3.5112,3.4984,3.6091,3.4576,32.47K,0.37%
09/01/2022,3.4984,3.5892,3.5892,3.3919,36.14K,-4.61%
08/31/2022,3.6674,3.7889,3.8332,3.6176,40.51K,-2.92%
08/30/2022,3.7778,3.8643,3.8989,3.6841,54.66K,-1.92%
08/29/2022,3.8516,3.9262,3.9493,3.8245,49.87K,-2.12%
08/26/2022,3.9352,3.8912,3.9728,3.88,40.34K,1.36%
08/25/2022,3.8823,3.9845,4.0392,3.8675,52.59K,-2.08%
08/24/2022,3.9649,3.7996,3.9825,3.7739,50.61K,4.22%
08/23/2022,3.8045,3.7352,3.827,3.7155,42.14K,1.77%
08/22/2022,3.7384,3.66,3.7422,3.6078,43.33K,2.12%
08/19/2022,3.6609,3.6086,3.6954,3.5266,36.83K,1.60%
08/18/2022,3.6033,3.5597,3.6385,3.5375,40.71K,0.98%
08/17/2022,3.5682,3.4484,3.5716,3.4196,40.87K,3.58%
08/16/2022,3.4448,3.4098,3.4777,3.3908,25.29K,0.87%
08/15/2022,3.4152,3.4866,3.4989,3.3491,26.57K,-2.04%
08/12/2022,3.4862,3.4504,3.5152,3.4204,26.58K,0.96%
08/11/2022,3.4531,3.3708,3.4886,3.353,32.37K,2.29%
