Date,Price,Open,High,Low,Vol.,Change %
05/05/2023,71.34,68.7,71.81,68.48,330.59K,4.05%
05/04/2023,68.56,68.16,69.84,63.64,412.50K,-0.06%
05/03/2023,68.6,71.56,71.79,67.95,490.52K,-4.27%
05/02/2023,71.66,75.76,76.11,71.42,417.82K,-5.29%
05/01/2023,75.66,76.66,76.69,74.53,215.02K,-1.46%
04/28/2023,76.78,74.91,76.92,73.93,328.40K,2.70%
04/27/2023,74.76,74.38,75.28,74.03,345.88K,0.62%
04/26/2023,74.3,77.08,77.93,74.05,497.78K,-3.59%
04/25/2023,77.07,78.74,79.07,76.5,361.65K,-2.15%
04/24/2023,78.76,77.97,79.18,76.72,306.72K,1.14%
04/21/2023,77.87,77.13,78.39,76.72,291.11K,0.75%
04/20/2023,77.29,78.87,78.89,76.97,24.99K,-2.36%
04/19/2023,79.16,80.92,81.18,78.46,78.31K,-2.10%
04/18/2023,80.86,81,81.48,79.87,96.29K,0.04%
04/17/2023,80.83,82.48,82.71,80.47,217.05K,-2.05%
04/14/2023,82.52,82.4,83.12,81.76,275.13K,0.44%
04/13/2023,82.16,83.22,83.44,82.11,261.23K,-1.32%
04/12/2023,83.26,81.44,83.53,81.28,356.13K,2.12%
04/11/2023,81.53,79.88,81.59,79.37,309.68K,2.24%
04/10/2023,79.74,80.5,81.22,79.61,264.91K,-1.19%
04/06/2023,80.7,80.37,80.96,79.65,259.52K,0.11%
04/05/2023,80.61,81.01,81.24,79.72,254.97K,-0.12%
04/04/2023,80.71,80.44,81.81,79.61,343.57K,0.36%
04/03/2023,80.42,80.1,81.69,79,547.13K,6.28%
03/31/2023,75.67,74.37,75.72,73.77,304.36K,1.75%
03/30/2023,74.37,72.98,74.63,72.61,269.74K,1.92%
03/29/2023,72.97,73.61,74.37,72.76,312.67K,-0.31%
03/28/2023,73.2,72.86,73.93,72.19,328.47K,0.54%
03/27/2023,72.81,69.42,73.1,69.13,353.60K,5.13%
03/24/2023,69.26,69.51,70.38,66.82,380.85K,-1.00%
03/23/2023,69.96,69.95,71.67,69.14,335.24K,-1.33%
03/22/2023,70.9,69.48,71.31,68.89,337.64K,2.26%
03/21/2023,69.33,67.62,69.6,66.77,26.35K,2.50%
03/20/2023,67.64,66.62,67.7,64.12,76.87K,1.35%
03/17/2023,66.74,68.26,69.64,65.17,152.26K,-2.36%
03/16/2023,68.35,68.22,69.38,65.71,327.12K,1.09%
03/15/2023,67.61,71.56,72.56,65.65,555.16K,-5.22%
03/14/2023,71.33,74.7,74.9,70.78,432.86K,-4.64%
03/13/2023,74.8,76.6,77.47,72.3,457.42K,-2.45%
03/10/2023,76.68,75.65,77.11,74.77,371.83K,1.27%
03/09/2023,75.72,76.5,78.06,75.43,349.96K,-1.23%
